Date;Kilde;Forfatter;NNPF_assosiert
onsdag 19. oktober 2022; https://www.aftenposten.no/norge/i/GMMeK4/russisk-statsborger-arrestert-i-hammerfest-er-soenn-av-putin-alliert ; author: Sofie Grønntun NissenJournalist ; NNPF: Anja Mikkelsen Indbjør
torsdag 13. oktober 2022; https://www.aftenposten.no/norge/i/wAAPko/politiet-har-bedt-om-to-ukers-varetektsfengsling-for-russeren ; author: Adriane Lilleskare LundeJournalist ; NNPF: Anja Mikkelsen Indbjør
onsdag 5. oktober 2022; https://www.aftenposten.no/meninger/kronikk/i/xg8Vd8/rusbrukeres-menneskerettigheter-trenger-bedre-vern ; author: Willy PedersenProfessor, Institutt for sosiologi og samfunnsgeografi, Universitetet i Oslo, og Nova/OsloMet ; NNPF: Geir Evanger
tirsdag 4. oktober 2022; https://www.aftenposten.no/norge/i/KnzadE/droneaktivitet-over-kraftanlegg-i-sirdal ; author: Frida Almåsstø Syrstad ; NNPF: Amund Preede Revheim
søndag 3. juli 2022; https://www.aftenposten.no/norge/i/oW5oBV/to-kvinner-siktet-etter-sian-paakjoersel-sier-de-handlet-i-selvforsvar ; author: Yngvar Gotaas BondeJournalist ; NNPF: Aase Schartum-Hansen
søndag 26. juni 2022; https://www.aftenposten.no/norge/i/k6kwkL/politiet-matapour-nekter-fortsatt-aa-la-seg-avhoere ; author: Aksel B. LindbergJournalist ; NNPF: Brita Cecilie Lilaas-Skari
søndag 26. juni 2022; https://www.aftenposten.no/norge/i/k6kwkL/politiet-matapour-nekter-fortsatt-aa-la-seg-avhoere ; author: Aksel B. LindbergJournalist ; NNPF: Børge Enoksen
fredag 6. mai 2022; https://www.aftenposten.no/norge/i/1O4yyM/det-var-bare-en-forklaring-paa-hvorfor-voksne-ukjente-menn-vipset-penger-til-hans-mindreaarige-datter ; author: Cornelius MunkvikStavanger Aftenblad ; NNPF: Oddgeir Høyekvam
fredag 1. april 2022; https://www.aftenposten.no/amagasinet/i/9KdRKE/ole-jacob-sunde-jeg-fikk-arr-det-er-vel-en-paaminnelse-om-at-det-aa-ta-risiko-kan-ha-konsekvenser ; author: Paal Audestad ; NNPF: Ingrid Sunde
lørdag 19. mars 2022; https://www.aftenposten.no/kultur/i/KzRq7o/bokanmeldelse-naivt-om-ibsens-bruk-av-unge-kvinner ; author: Ingunn Økland ; NNPF: Astrid Sæther
torsdag 13. januar 2022; https://www.aftenposten.no/norge/i/47verV/ekstremvaeret-gyda-flere-ras-og-stengte-veier-flomtopp-ventet-i-natt ; author: NTB ; NNPF: Per Ivar Hovden
onsdag 12. januar 2022; https://www.aftenposten.no/norge/i/MLWk9K/ansatte-i-politidirektoratet-behandlet-pengesoeknader-fra-norsk-narkotikapolitiforening-samtidig-som-de-var-medlemmer ; author: Torkjell J. TrædalJournalist ; NNPF: Jan Erik Bresil
onsdag 29. desember 2021; https://www.aftenposten.no/norge/i/V9e7a3/bilen-kjoerte-utfor-stup-paa-hardangervidda-saa-fant-politiet-narkotika ; author: Per Lindberg ; NNPF: Jan Christian Alvheim
torsdag 23. desember 2021; https://www.aftenposten.no/norge/i/34XK4X/besoeket-fra-noedetatene-gir-barna-ekstra-glede-i-hverdagen ; author: NTB-Jakob Hildrum ; NNPF: Halvor Grønli
onsdag 15. desember 2021; https://www.aftenposten.no/norge/i/JxRJlj/politiet-mener-brannkonstabel-skjoet-og-drepte-sin-egen-familie-foer-brannen-i-svelvik ; author: Hilde LundgaardJournalist ; NNPF: Odd Skei Kostveit
tirsdag 14. desember 2021; https://www.aftenposten.no/meninger/debatt/i/dnjgWq/kort-sagt-onsdag-15-desember ; author: Debattredaksjonen ; NNPF: Anette Gilje
tirsdag 14. desember 2021; https://www.aftenposten.no/meninger/debatt/i/dnjgWq/kort-sagt-onsdag-15-desember ; author: Debattredaksjonen ; NNPF: Heidi Hansen
tirsdag 14. desember 2021; https://www.aftenposten.no/meninger/debatt/i/dnjgWq/kort-sagt-onsdag-15-desember ; author: Debattredaksjonen ; NNPF: Kristin Johansen
tirsdag 14. desember 2021; https://www.aftenposten.no/meninger/debatt/i/dnjgWq/kort-sagt-onsdag-15-desember ; author: Debattredaksjonen ; NNPF: Lene Gustavsen
lørdag 4. desember 2021; https://www.aftenposten.no/norge/i/8QjGzx/vi-sitter-her-og-fryser-politikerne-har-ikke-bakkekontakt ; author: Hilde Wøhni Joakimsen ; NNPF: Frank Salvesen
lørdag 16. oktober 2021; https://www.aftenposten.no/norge/i/wOn0dG/politiet-hypotesen-om-at-han-har-gjort-dette-alene-er-styrket ; author: Sveinung Berg BentzrødJournalist ; NNPF: Per Thomas Omholt
torsdag 1. juli 2021; https://www.aftenposten.no/norge/i/2dR0wv/etterforskning-iverksatt-etter-at-kvinne-ble-funnet-doed-paa-geilo ; author: NTB ; NNPF: Kari Birgit Møllerplass
torsdag 24. juni 2021; https://www.aftenposten.no/norge/i/Lnv6qQ/narkotikanettverk-med-trolig-aarelange-leveranser-til-nord-norge-avdekket ; author: NTB-Jonas Berge ; NNPF: Yngve Myrvoll
søndag 20. juni 2021; https://www.aftenposten.no/norge/i/LnJz8J/politiet-slaar-alarm-om-overgrep-blant-barn-og-ungdom-i-agder-dette-er-sterk-kost-antagelig-sjokkerende-aa-lese ; author: Øystein Tronsli DrabløsJournalist ; NNPF: Kenneth Hjorth Rafaelsen
fredag 11. juni 2021; https://www.aftenposten.no/norge/i/WOnv5j/forsvarer-mener-norsk-politi-dro-ut-paa-fisketur-med-materialet-fra-fbi ; author: Jan Gunnar FurulyJournalist ; NNPF: Odd Skei Kostveit
søndag 23. mai 2021; https://www.aftenposten.no/norge/i/M3OPl5/familiekonflikter-pengeoppgjoer-og-grov-vold-vaepnede-kriminelle-i-bergen-bekymrer-politiet ; author: Hanad Ali ; NNPF: Helge Stave
søndag 23. mai 2021; https://www.aftenposten.no/norge/i/M3OPl5/familiekonflikter-pengeoppgjoer-og-grov-vold-vaepnede-kriminelle-i-bergen-bekymrer-politiet ; author: Hanad Ali ; NNPF: Rune Fremstad
lørdag 8. mai 2021; https://www.aftenposten.no/norge/i/6zJQBo/anna-jeg-ble-behandlet-som-en-hund ; author: Gunnar ThorenfeldtJournalist ; NNPF: Bjarte Schrøen
torsdag 6. mai 2021; https://www.aftenposten.no/norge/i/Ky0qLG/politiet-i-agder-kan-ikke-redegjoere-for-1600-ransakelser ; author: Mona Wikøren ; NNPF: Terje Kaddeberg Skaar
tirsdag 4. mai 2021; https://www.aftenposten.no/norge/i/dlXMzw/politiet-har-paagrepet-og-siktet-ny-mann-etter-toensberg-drapet ; author: NTB-Anders R. Christensen ; NNPF: Fredrik Borg Johannessen
onsdag 28. april 2021; https://www.aftenposten.no/norge/i/kRgLJA/politiet-ble-tilkalt-for-aa-redde-livet-til-tom-arne-nygren-i-stedet-endte-de-med-aa-ransake-leiligheten-og-sikte-ham ; author: Sofie Grønntun NissenJournalist ; NNPF: Terje Kaddeberg Skaar
torsdag 8. april 2021; https://www.aftenposten.no/meninger/kommentar/i/6zQ8X0/er-politiet-en-del-av-loesningen-eller-en-del-av-problemet ; author: Andreas Slettholm ; NNPF: Geir Evanger
tirsdag 23. mars 2021; https://www.aftenposten.no/norge/i/kRdM6X/hun-var-kone-og-mor-i-den-islamske-staten-aktor-mener-hun-maa-doemmes-til-fire-aars-fengsel ; author: Harald Stolt-NielsenJournalist ; NNPF: Geir Evanger
