Dato;tid;NRK_src;Yrke;Fullt_navn;NNPF_omtalt
03.07.2022; kl. 13.38;https://www.nrk.no/norge/passasjeren-i-bilen-ogsa-pagrepet-etter-sian-pakjorsel-1.16025695;Journalist;Svein Vestrum Olsson;"NNPF; Aase Schartum-Hansen"
07.05.2022; kl. 08.46;https://www.nrk.no/sorlandet/_-det-er-kokain-pa-alle-russefester-1.15955650;Journalist;Leif Dalen;"NNPF; Stian Johnsen"
27.04.2022; kl. 12.36;https://www.nrk.no/sorlandet/sorlandsbanen-stengt-pa-grunn-av-krattbrann-1.15945737;Journalist;Heidi Ditlefsen;"NNPF; Frank Salvesen"
12.03.2022; kl. 09.24;https://www.nrk.no/rogaland/miljovernforbundet-melder-af-decom-til-politiet-pa-grunn-av-sprenging-utan-varsel-1.15864377;Journalist;Marie Håland;"NNPF; Jarle Utne-Reitan"
21.05.2021; kl. 15.41;https://www.nrk.no/vestland/dramatisk-politiaksjon-pa-e16-i-arna-_-kjorte-pa-bil-som-ikke-ville-stanse-1.15504983;Journalist;Even Norheim Johansen;"NNPF; Jan Christian Alvheim"
10.04.2020; kl. 15.27;https://www.nrk.no/trondelag/drapssaken-i-trondheim_-har-du-sett-denne-bilen_-1.14979349;Journalist;Kari Sørbø;"NNPF; John Ola Volden"
25.06.2019; kl. 17.15;https://www.nrk.no/innlandet/kongsvingertollen-avdekket-164-kilo-hasj-og-10_5-kilo-kokain-1.14603341;Journalist;Ragna Kristine Sandholt;"NNPF; Henning Klauseie"
31.05.2019; kl. 11.10;https://www.nrk.no/vestland/politiet-har-fatt-detaljerte-opplysninger-i-frantzen-saken-_-starter-nye-sok-1.14571236;Journalist;Adrian Nyhammer Olsen;"NNPF; Trine Frantzen"
21.05.2019; kl. 15.12;https://www.nrk.no/vestland/stopper-gravingen-etter-savnede-trine-frantzen-1.14559053;Journalist;Silje Thalberg;"NNPF; Trine Frantzen"
15.11.2017; kl. 18.13;https://www.nrk.no/sorlandet/smertefulle-minner-fra-en-barndom-med-vold-blir-teater-1.13779917;Journalist;Marianne Jakobsen;"NNPF; Rune Andersen"
21.10.2017; kl. 14.06;https://www.nrk.no/sorlandet/nrk-sorlandets-blinde-journalist_-_-alle-pa-radio-er-like-blinde-1.13741818;Journalist;Morten Krogstad;"NNPF; Yngve Stiansen"
22.06.2017; kl. 20.58;https://www.nrk.no/vestland/sjekk-kven-som-blir-din-politikontakt-1.13570936;Journalist;Oddleif Løset;"NNPF; Jorunn Furuheim"
22.06.2017; kl. 20.58;https://www.nrk.no/vestland/sjekk-kven-som-blir-din-politikontakt-1.13570936;Journalist;Oddleif Løset;"NNPF; Kåre Jan Hofrenning"
22.06.2017; kl. 20.58;https://www.nrk.no/vestland/sjekk-kven-som-blir-din-politikontakt-1.13570936;Journalist;Oddleif Løset;"NNPF; Odd Helge Vågseth"
22.06.2017; kl. 20.58;https://www.nrk.no/vestland/sjekk-kven-som-blir-din-politikontakt-1.13570936;Journalist;Oddleif Løset;"NNPF; Ole Petter Lie Selheim"
22.06.2017; kl. 20.58;https://www.nrk.no/vestland/sjekk-kven-som-blir-din-politikontakt-1.13570936;Journalist;Oddleif Løset;"NNPF; Roger Gundersen"
